              x	              y	              z	           time	in	  Cl_mol/kgw	 Sr_nmol/kgw	
              0              0              0             60	 1	  2.0000e-03	  9.8766e-01	
          0.001	              0              0             60	 1	  2.0000e-03	  9.7790e-01	
          0.002	              0              0             60	 1	  2.0000e-03	  9.6824e-01	
          0.003	              0              0             60	 1	  2.0000e-03	  9.5868e-01	
          0.004	              0              0             60	 1	  2.0000e-03	  9.4921e-01	
          0.005	              0              0             60	 1	  2.0000e-03	  9.3983e-01	
          0.006	              0              0             60	 1	  2.0000e-03	  9.3055e-01	
          0.007	              0              0             60	 1	  2.0000e-03	  9.2136e-01	
          0.008	              0              0             60	 1	  2.0000e-03	  9.1226e-01	
          0.009	              0              0             60	 1	  2.0000e-03	  9.0325e-01	
           0.01	              0              0             60	 1	  2.0000e-03	  8.9433e-01	
          0.011	              0              0             60	 1	  2.0000e-03	  8.8549e-01	
          0.012	              0              0             60	 1	  2.0000e-03	  8.7675e-01	
          0.013	              0              0             60	 1	  2.0000e-03	  8.6809e-01	
          0.014	              0              0             60	 1	  2.0000e-03	  8.5951e-01	
          0.015	              0              0             60	 1	  2.0000e-03	  8.5102e-01	
          0.016	              0              0             60	 1	  2.0000e-03	  8.4261e-01	
          0.017	              0              0             60	 1	  2.0000e-03	  8.3428e-01	
          0.018	              0              0             60	 1	  2.0000e-03	  8.2604e-01	
          0.019	              0              0             60	 1	  2.0000e-03	  8.1787e-01	
           0.02	              0              0             60	 1	  1.9999e-03	  8.0978e-01	
          0.021	              0              0             60	 1	  1.9999e-03	  8.0176e-01	
          0.022	              0              0             60	 1	  1.9998e-03	  7.9382e-01	
          0.023	              0              0             60	 1	  1.9998e-03	  7.8594e-01	
          0.024	              0              0             60	 1	  1.9997e-03	  7.7812e-01	
          0.025	              0              0             60	 1	  1.9995e-03	  7.7036e-01	
          0.026	              0              0             60	 1	  1.9993e-03	  7.6265e-01	
          0.027	              0              0             60	 1	  1.9991e-03	  7.5498e-01	
          0.028	              0              0             60	 1	  1.9987e-03	  7.4733e-01	
          0.029	              0              0             60	 1	  1.9983e-03	  7.3970e-01	
           0.03	              0              0             60	 1	  1.9976e-03	  7.3205e-01	
          0.031	              0              0             60	 1	  1.9968e-03	  7.2438e-01	
          0.032	              0              0             60	 1	  1.9957e-03	  7.1665e-01	
          0.033	              0              0             60	 1	  1.9944e-03	  7.0884e-01	
          0.034	              0              0             60	 1	  1.9926e-03	  7.0089e-01	
          0.035	              0              0             60	 1	  1.9904e-03	  6.9278e-01	
          0.036	              0              0             60	 1	  1.9876e-03	  6.8445e-01	
          0.037	              0              0             60	 1	  1.9842e-03	  6.7585e-01	
          0.038	              0              0             60	 1	  1.9800e-03	  6.6692e-01	
          0.039	              0              0             60	 1	  1.9749e-03	  6.5759e-01	
           0.04	              0              0             60	 1	  1.9688e-03	  6.4779e-01	
          0.041	              0              0             60	 1	  1.9615e-03	  6.3746e-01	
          0.042	              0              0             60	 1	  1.9528e-03	  6.2652e-01	
          0.043	              0              0             60	 1	  1.9427e-03	  6.1489e-01	
          0.044	              0              0             60	 1	  1.9310e-03	  6.0252e-01	
          0.045	              0              0             60	 1	  1.9175e-03	  5.8933e-01	
          0.046	              0              0             60	 1	  1.9022e-03	  5.7527e-01	
          0.047	              0              0             60	 1	  1.8850e-03	  5.6029e-01	
          0.048	              0              0             60	 1	  1.8657e-03	  5.4437e-01	
          0.049	              0              0             60	 1	  1.8443e-03	  5.2749e-01	
           0.05	              0              0             60	 1	  1.8208e-03	  5.0965e-01	
          0.051	              0              0             60	 1	  1.7953e-03	  4.9088e-01	
          0.052	              0              0             60	 1	  1.7678e-03	  4.7122e-01	
          0.053	              0              0             60	 1	  1.7384e-03	  4.5073e-01	
          0.054	              0              0             60	 1	  1.7072e-03	  4.2950e-01	
          0.055	              0              0             60	 1	  1.6745e-03	  4.0764e-01	
          0.056	              0              0             60	 1	  1.6404e-03	  3.8527e-01	
          0.057	              0              0             60	 1	  1.6053e-03	  3.6254e-01	
          0.058	              0              0             60	 1	  1.5693e-03	  3.3958e-01	
          0.059	              0              0             60	 1	  1.5328e-03	  3.1658e-01	
           0.06	              0              0             60	 1	  1.4961e-03	  2.9368e-01	
          0.061	              0              0             60	 1	  1.4595e-03	  2.7107e-01	
          0.062	              0              0             60	 1	  1.4233e-03	  2.4889e-01	
          0.063	              0              0             60	 1	  1.3878e-03	  2.2731e-01	
          0.064	              0              0             60	 1	  1.3533e-03	  2.0646e-01	
          0.065	              0              0             60	 1	  1.3200e-03	  1.8648e-01	
          0.066	              0              0             60	 1	  1.2881e-03	  1.6748e-01	
          0.067	              0              0             60	 1	  1.2579e-03	  1.4955e-01	
          0.068	              0              0             60	 1	  1.2295e-03	  1.3275e-01	
          0.069	              0              0             60	 1	  1.2029e-03	  1.1714e-01	
           0.07	              0              0             60	 1	  1.1784e-03	  1.0275e-01	
          0.071	              0              0             60	 1	  1.1558e-03	  8.9571e-02	
          0.072	              0              0             60	 1	  1.1352e-03	  7.7606e-02	
          0.073	              0              0             60	 1	  1.1167e-03	  6.6824e-02	
          0.074	              0              0             60	 1	  1.1000e-03	  5.7181e-02	
          0.075	              0              0             60	 1	  1.0852e-03	  4.8622e-02	
          0.076	              0              0             60	 1	  1.0721e-03	  4.1084e-02	
          0.077	              0              0             60	 1	  1.0606e-03	  3.4495e-02	
          0.078	              0              0             60	 1	  1.0506e-03	  2.8778e-02	
          0.079	              0              0             60	 1	  1.0420e-03	  2.3856e-02	
           0.08	              0              0             60	 1	  1.0347e-03	  1.9649e-02	
          0.081	              0              0             60	 1	  1.0284e-03	  1.6080e-02	
          0.082	              0              0             60	 1	  1.0231e-03	  1.3074e-02	
          0.083	              0              0             60	 1	  1.0187e-03	  1.0562e-02	
          0.084	              0              0             60	 1	  1.0150e-03	  8.4769e-03	
          0.085	              0              0             60	 1	  1.0120e-03	  6.7594e-03	
          0.086	              0              0             60	 1	  1.0095e-03	  5.3545e-03	
          0.087	              0              0             60	 1	  1.0075e-03	  4.2137e-03	
          0.088	              0              0             60	 1	  1.0059e-03	  3.2938e-03	
          0.089	              0              0             60	 1	  1.0046e-03	  2.5573e-03	
           0.09	              0              0             60	 1	  1.0035e-03	  1.9717e-03	
          0.091	              0              0             60	 1	  1.0027e-03	  1.5092e-03	
          0.092	              0              0             60	 1	  1.0021e-03	  1.1466e-03	
          0.093	              0              0             60	 1	  1.0016e-03	  8.6400e-04	
          0.094	              0              0             60	 1	  1.0012e-03	  6.4531e-04	
          0.095	              0              0             60	 1	  1.0009e-03	  4.7711e-04	
          0.096	              0              0             60	 1	  1.0007e-03	  3.4855e-04	
          0.097	              0              0             60	 1	  1.0005e-03	  2.5086e-04	
          0.098	              0              0             60	 1	  1.0004e-03	  1.7704e-04	
          0.099	              0              0             60	 1	  1.0003e-03	  1.2155e-04	
            0.1	              0              0             60	 1	  1.0002e-03	  8.0030e-05	
          0.101	              0              0             60	 1	  1.0001e-03	  4.9010e-05	
          0.102	              0              0             60	 1	  1.0001e-03	  2.5955e-05	
          0.103	              0              0             60	 1	  1.0001e-03	  1.0154e-05	
          0.104	              0              0             60	 1	  1.0001e-03	  0 
          0.105	              0              0             60	 1	  1.0000e-03	  0 
          0.106	              0              0             60	 1	  1.0000e-03	  0 
          0.107	              0              0             60	 1	  1.0000e-03	  0 
          0.108	              0              0             60	 1	  1.0000e-03	  0 
          0.109	              0              0             60	 1	  1.0000e-03	  0 
           0.11	              0              0             60	 1	  1.0000e-03	  0 
          0.111	              0              0             60	 1	  1.0000e-03	  0 
          0.112	              0              0             60	 1	  1.0000e-03	  0 
          0.113	              0              0             60	 1	  1.0000e-03	  0 
          0.114	              0              0             60	 1	  1.0000e-03	  0 
          0.115	              0              0             60	 1	  1.0000e-03	  0 
          0.116	              0              0             60	 1	  1.0000e-03	  0 
          0.117	              0              0             60	 1	  1.0000e-03	  0 
          0.118	              0              0             60	 1	  1.0000e-03	  0 
          0.119	              0              0             60	 1	  1.0000e-03	  0 
           0.12	              0              0             60	 1	  1.0000e-03	  0 
