              x	              y	              z	           time	in	         Cl_mol/kgw	        Sr_nmol/kgw	
              0	              0	              0	             60	 1	   1.9999999995e-03	   9.8761917173e-01	
          0.001	              0	              0	             60	 1	   1.9999999988e-03	   9.7783539636e-01	
          0.002	              0	              0	             60	 1	   1.9999999965e-03	   9.6814854180e-01	
          0.003	              0	              0	             60	 1	   1.9999999922e-03	   9.5855764919e-01	
          0.004	              0	              0	             60	 1	   1.9999999832e-03	   9.4906176520e-01	
          0.005	              0	              0	             60	 1	   1.9999999668e-03	   9.3965994846e-01	
          0.006	              0	              0	             60	 1	   1.9999999369e-03	   9.3035126449e-01	
          0.007	              0	              0	             60	 1	   1.9999998835e-03	   9.2113478532e-01	
          0.008	              0	              0	             60	 1	   1.9999997907e-03	   9.1200959093e-01	
          0.009	              0	              0	             60	 1	   1.9999996319e-03	   9.0297476408e-01	
           0.01	              0	              0	             60	 1	   1.9999993630e-03	   8.9402938653e-01	
          0.011	              0	              0	             60	 1	   1.9999989142e-03	   8.8517253457e-01	
          0.012	              0	              0	             60	 1	   1.9999981757e-03	   8.7640327161e-01	
          0.013	              0	              0	             60	 1	   1.9999969761e-03	   8.6772063240e-01	
          0.014	              0	              0	             60	 1	   1.9999950383e-03	   8.5912358223e-01	
          0.015	              0	              0	             60	 1	   1.9999920162e-03	   8.5061111985e-01	
          0.016	              0	              0	             60	 1	   1.9999873558e-03	   8.4218210850e-01	
          0.017	              0	              0	             60	 1	   1.9999802562e-03	   8.3383529503e-01	
          0.018	              0	              0	             60	 1	   1.9999695651e-03	   8.2556924931e-01	
          0.019	              0	              0	             60	 1	   1.9999536466e-03	   8.1738229621e-01	
           0.02	              0	              0	             60	 1	   1.9999302084e-03	   8.0927242559e-01	
          0.021	              0	              0	             60	 1	   1.9998960766e-03	   8.0123717524e-01	
          0.022	              0	              0	             60	 1	   1.9998469099e-03	   7.9327348217e-01	
          0.023	              0	              0	             60	 1	   1.9997768427e-03	   7.8537749700e-01	
          0.024	              0	              0	             60	 1	   1.9996780452e-03	   7.7754435606e-01	
          0.025	              0	              0	             60	 1	   1.9995401934e-03	   7.6976790681e-01	
          0.026	              0	              0	             60	 1	   1.9993498397e-03	   7.6204038326e-01	
          0.027	              0	              0	             60	 1	   1.9990896833e-03	   7.5435203008e-01	
          0.028	              0	              0	             60	 1	   1.9987377413e-03	   7.4669067724e-01	
          0.029	              0	              0	             60	 1	   1.9982664299e-03	   7.3904127054e-01	
           0.03	              0	              0	             60	 1	   1.9976415746e-03	   7.3138536835e-01	
          0.031	              0	              0	             60	 1	   1.9968213786e-03	   7.2370062027e-01	
          0.032	              0	              0	             60	 1	   1.9957553884e-03	   7.1596024983e-01	
          0.033	              0	              0	             60	 1	   1.9943835117e-03	   7.0813256937e-01	
          0.034	              0	              0	             60	 1	   1.9926351518e-03	   7.0018056222e-01	
          0.035	              0	              0	             60	 1	   1.9904285351e-03	   6.9206157211e-01	
          0.036	              0	              0	             60	 1	   1.9876703161e-03	   6.8372714463e-01	
          0.037	              0	              0	             60	 1	   1.9842555508e-03	   6.7512306726e-01	
          0.038	              0	              0	             60	 1	   1.9800681258e-03	   6.6618965391e-01	
          0.039	              0	              0	             60	 1	   1.9749817276e-03	   6.5686231615e-01	
           0.04	              0	              0	             60	 1	   1.9688614180e-03	   6.4707245511e-01	
          0.041	              0	              0	             60	 1	   1.9615658664e-03	   6.3674869643e-01	
          0.042	              0	              0	             60	 1	   1.9529502530e-03	   6.2581847486e-01	
          0.043	              0	              0	             60	 1	   1.9428698291e-03	   6.1420995618e-01	
          0.044	              0	              0	             60	 1	   1.9311840734e-03	   6.0185426265e-01	
          0.045	              0	              0	             60	 1	   1.9177613412e-03	   5.8868792346e-01	
          0.046	              0	              0	             60	 1	   1.9024838914e-03	   5.7465562210e-01	
          0.047	              0	              0	             60	 1	   1.8852530205e-03	   5.5971273632e-01	
          0.048	              0	              0	             60	 1	   1.8659941926e-03	   5.4382805552e-01	
          0.049	              0	              0	             60	 1	   1.8446618573e-03	   5.2698623859e-01	
           0.05	              0	              0	             60	 1	   1.8212437186e-03	   5.0918995572e-01	
          0.051	              0	              0	             60	 1	   1.7957642073e-03	   4.9046158209e-01	
          0.052	              0	              0	             60	 1	   1.7682869265e-03	   4.7084432468e-01	
          0.053	              0	              0	             60	 1	   1.7389158819e-03	   4.5040268443e-01	
          0.054	              0	              0	             60	 1	   1.7077953545e-03	   4.2922218475e-01	
          0.055	              0	              0	             60	 1	   1.6751083406e-03	   4.0740833215e-01	
          0.056	              0	              0	             60	 1	   1.6410735535e-03	   3.8508481332e-01	
          0.057	              0	              0	             60	 1	   1.6059410573e-03	   3.6239097386e-01	
          0.058	              0	              0	             60	 1	   1.5699866773e-03	   3.3947866275e-01	
          0.059	              0	              0	             60	 1	   1.5335053975e-03	   3.1650856241e-01	
           0.06	              0	              0	             60	 1	   1.4968040142e-03	   2.9364615283e-01	
          0.061	              0	              0	             60	 1	   1.4601933509e-03	   2.7105747908e-01	
          0.062	              0	              0	             60	 1	   1.4239803679e-03	   2.4890490155e-01	
          0.063	              0	              0	             60	 1	   1.3884604971e-03	   2.2734300845e-01	
          0.064	              0	              0	             60	 1	   1.3539105195e-03	   2.0651485918e-01	
          0.065	              0	              0	             60	 1	   1.3205822666e-03	   1.8654870675e-01	
          0.066	              0	              0	             60	 1	   1.2886973762e-03	   1.6755531912e-01	
          0.067	              0	              0	             60	 1	   1.2584432728e-03	   1.4962598512e-01	
          0.068	              0	              0	             60	 1	   1.2299704735e-03	   1.3283125267e-01	
          0.069	              0	              0	             60	 1	   1.2033912502e-03	   1.1722040914e-01	
           0.07	              0	              0	             60	 1	   1.1787796112e-03	   1.0282167678e-01	
          0.071	              0	              0	             60	 1	   1.1561725043e-03	   8.9643063727e-02	
          0.072	              0	              0	             60	 1	   1.1355720938e-03	   7.7673784746e-02	
          0.073	              0	              0	             60	 1	   1.1169489248e-03	   6.6886146030e-02	
          0.074	              0	              0	             60	 1	   1.1002457629e-03	   5.7237775021e-02	
          0.075	              0	              0	             60	 1	   1.0853818948e-03	   4.8674077412e-02	
          0.076	              0	              0	             60	 1	   1.0722576389e-03	   4.1130779853e-02	
          0.077	              0	              0	             60	 1	   1.0607589835e-03	   3.4536530562e-02	
          0.078	              0	              0	             60	 1	   1.0507619705e-03	   2.8815317274e-02	
          0.079	              0	              0	             60	 1	   1.0421368454e-03	   2.3888749162e-02	
           0.08	              0	              0	             60	 1	   1.0347517910e-03	   1.9678089911e-02	
          0.081	              0	              0	             60	 1	   1.0284761748e-03	   1.6106008982e-02	
          0.082	              0	              0	             60	 1	   1.0231832618e-03	   1.3098028784e-02	
          0.083	              0	              0	             60	 1	   1.0187523798e-03	   1.0583662472e-02	
          0.084	              0	              0	             60	 1	   1.0150705474e-03	   8.4972515087e-03	
          0.085	              0	              0	             60	 1	   1.0120335971e-03	   6.7785236697e-03	
          0.086	              0	              0	             60	 1	   1.0095468445e-03	   5.3729006341e-03	
          0.087	              0	              0	             60	 1	   1.0075253612e-03	   4.2315897413e-03	
          0.088	              0	              0	             60	 1	   1.0058939185e-03	   3.3114972205e-03	
          0.089	              0	              0	             60	 1	   1.0045866673e-03	   2.5750005190e-03	
           0.09	              0	              0	             60	 1	   1.0035466195e-03	   1.9896157696e-03	
          0.091	              0	              0	             60	 1	   1.0027249902e-03	   1.5275934098e-03	
          0.092	              0	              0	             60	 1	   1.0020804523e-03	   1.1654709752e-03	
          0.093	              0	              0	             60	 1	   1.0015783499e-03	   8.8360756072e-04	
          0.094	              0	              0	             60	 1	   1.0011899057e-03	   6.6571974827e-04	
          0.095	              0	              0	             60	 1	   1.0008914505e-03	   4.9843423138e-04	
          0.096	              0	              0	             60	 1	   1.0006636971e-03	   3.7086814333e-04	
          0.097	              0	              0	             60	 1	   1.0004910706e-03	   2.7424436228e-04	
          0.098	              0	              0	             60	 1	   1.0003611053e-03	   2.0154590421e-04	
          0.099	              0	              0	             60	 1	   1.0002639097e-03	   1.4721094864e-04	
            0.1	              0	              0	             60	 1	   1.0001917017e-03	   1.0686805700e-04	
          0.101	              0	              0	             60	 1	   1.0001384093e-03	   7.7109692325e-05	
          0.102	              0	              0	             60	 1	   1.0000993338e-03	   5.5301167710e-05	
          0.103	              0	              0	             60	 1	   1.0000708678e-03	   3.9421561997e-05	
          0.104	              0	              0	             60	 1	   1.0000502640e-03	   2.7932869639e-05	
          0.105	              0	              0	             60	 1	   1.0000354460e-03	   1.9673621346e-05	
          0.106	              0	              0	             60	 1	   1.0000248567e-03	   1.3773356568e-05	
          0.107	              0	              0	             60	 1	   1.0000173371e-03	   9.5845891769e-06	
          0.108	              0	              0	             60	 1	   1.0000120308e-03	   6.6292295668e-06	
          0.109	              0	              0	             60	 1	   1.0000083096e-03	   4.5568652594e-06	
           0.11	              0	              0	             60	 1	   1.0000057166e-03	   3.1123438599e-06	
          0.111	              0	              0	             60	 1	   1.0000039212e-03	   2.1115236661e-06	
          0.112	              0	              0	             60	 1	   1.0000026847e-03	   1.4222137774e-06	
          0.113	              0	              0	             60	 1	   1.0000018396e-03	   9.5021811189e-07	
          0.114	              0	              0	             60	 1	   1.0000012477e-03	   6.2887345717e-07	
          0.115	              0	              0	             60	 1	   1.0000008410e-03	   4.1131719648e-07	
          0.116	              0	              0	             60	 1	   1.0000005631e-03	   2.6481321923e-07	
          0.117	              0	              0	             60	 1	   1.0000003745e-03	   1.6662378335e-07	
          0.118	              0	              0	             60	 1	   1.0000002483e-03	   1.0119776920e-07	
          0.119	              0	              0	             60	 1	   1.0000001682e-03	   5.9478039907e-08	
           0.12	              0	              0	             60	 1	   1.0000001392e-03	   4.3842664029e-08	
