              x	              y	              z	           time	in	        Pore_volume	                 Na	                 Cl	                  K	                 Ca	       SolidCa,cell	       FluidCa,cell	             exchCa	              totCa	                 PV	           kg_water	
              0	              0	              0	            0.5	 1	   0.0000000000e+00	   2.9667029182e-06	   1.1999989853e+00	   5.8197690126e-06	   5.9999560677e-01	   5.5198185091e-08	   6.0211264272e-08	   5.5043973893e-05	   6.0043047669e-05	   2.5020000000e-02	   1.0007247885e-01	
              1	              0	              0	            0.5	 1	   0.0000000000e+00	   2.9667029182e-06	   1.1999989853e+00	   5.8197690126e-06	   5.9999560677e-01	   5.5198185091e-08	   6.0211264272e-08	   5.5043973893e-05	   6.0043047669e-05	   2.5020000000e-02	   1.0007247885e-01	
              0	              1	              0	            0.5	 1	   0.0000000000e+00	   2.9667029182e-06	   1.1999989853e+00	   5.8197690126e-06	   5.9999560677e-01	   5.5198185091e-08	   6.0211264272e-08	   5.5043973893e-05	   6.0043047669e-05	   2.5020000000e-02	   1.0007247885e-01	
              1	              1	              0	            0.5	 1	   0.0000000000e+00	   2.9667029182e-06	   1.1999989853e+00	   5.8197690126e-06	   5.9999560677e-01	   5.5198185091e-08	   6.0211264272e-08	   5.5043973893e-05	   6.0043047669e-05	   2.5020000000e-02	   1.0007247885e-01	
              0	              0	          0.002	            0.5	 1	   0.0000000000e+00	   5.6493720257e-06	   1.1999980698e+00	   1.1093843785e-05	   5.9999162840e-01	   1.1038749317e-07	   1.2041210395e-07	   5.5041747699e-05	   6.0040249624e-05	   5.0038000000e-02	   1.0006847893e-01	
              1	              0	          0.002	            0.5	 1	   0.0000000000e+00	   5.6493720257e-06	   1.1999980698e+00	   1.1093843785e-05	   5.9999162840e-01	   1.1038749317e-07	   1.2041210395e-07	   5.5041747699e-05	   6.0040249624e-05	   5.0038000000e-02	   1.0006847893e-01	
              0	              1	          0.002	            0.5	 1	   0.0000000000e+00	   5.6493720257e-06	   1.1999980698e+00	   1.1093843785e-05	   5.9999162840e-01	   1.1038749317e-07	   1.2041210395e-07	   5.5041747699e-05	   6.0040249624e-05	   5.0038000000e-02	   1.0006847893e-01	
              1	              1	          0.002	            0.5	 1	   0.0000000000e+00	   5.6493720257e-06	   1.1999980698e+00	   1.1093843785e-05	   5.9999162840e-01	   1.1038749317e-07	   1.2041210395e-07	   5.5041747699e-05	   6.0040249624e-05	   5.0038000000e-02	   1.0006847893e-01	
              0	              0	          0.004	            0.5	 1	   0.0000000000e+00	   9.9334839693e-06	   1.1999966161e+00	   1.9562377486e-05	   5.9998525209e-01	   1.1037858560e-07	   1.2040119850e-07	   5.5039506087e-05	   6.0037211582e-05	   5.0036000000e-02	   1.0006447887e-01	
              1	              0	          0.004	            0.5	 1	   0.0000000000e+00	   9.9334839693e-06	   1.1999966161e+00	   1.9562377486e-05	   5.9998525209e-01	   1.1037858560e-07	   1.2040119850e-07	   5.5039506087e-05	   6.0037211582e-05	   5.0036000000e-02	   1.0006447887e-01	
              0	              1	          0.004	            0.5	 1	   0.0000000000e+00	   9.9334839693e-06	   1.1999966161e+00	   1.9562377486e-05	   5.9998525209e-01	   1.1037858560e-07	   1.2040119850e-07	   5.5039506087e-05	   6.0037211582e-05	   5.0036000000e-02	   1.0006447887e-01	
              1	              1	          0.004	            0.5	 1	   0.0000000000e+00	   9.9334839693e-06	   1.1999966161e+00	   1.9562377486e-05	   5.9998525209e-01	   1.1037858560e-07	   1.2040119850e-07	   5.5039506087e-05	   6.0037211582e-05	   5.0036000000e-02	   1.0006447887e-01	
              0	              0	          0.006	            0.5	 1	   0.0000000000e+00	   1.6602936213e-05	   1.1999943692e+00	   3.2836087543e-05	   5.9997528052e-01	   1.1036963045e-07	   1.2038957200e-07	   5.5037240567e-05	   6.0033813731e-05	   5.0034000000e-02	   1.0006047862e-01	
              1	              0	          0.006	            0.5	 1	   0.0000000000e+00	   1.6602936213e-05	   1.1999943692e+00	   3.2836087543e-05	   5.9997528052e-01	   1.1036963045e-07	   1.2038957200e-07	   5.5037240567e-05	   6.0033813731e-05	   5.0034000000e-02	   1.0006047862e-01	
              0	              1	          0.006	            0.5	 1	   0.0000000000e+00	   1.6602936213e-05	   1.1999943692e+00	   3.2836087543e-05	   5.9997528052e-01	   1.1036963045e-07	   1.2038957200e-07	   5.5037240567e-05	   6.0033813731e-05	   5.0034000000e-02	   1.0006047862e-01	
              1	              1	          0.006	            0.5	 1	   0.0000000000e+00	   1.6602936213e-05	   1.1999943692e+00	   3.2836087543e-05	   5.9997528052e-01	   1.1036963045e-07	   1.2038957200e-07	   5.5037240567e-05	   6.0033813731e-05	   5.0034000000e-02	   1.0006047862e-01	
              0	              0	          0.008	            0.5	 1	   0.0000000000e+00	   2.6774059787e-05	   1.1999909718e+00	   5.3243591162e-05	   5.9995999123e-01	   1.1036060570e-07	   1.2037687890e-07	   5.5034940163e-05	   6.0029883719e-05	   5.0032000000e-02	   1.0005647809e-01	
              1	              0	          0.008	            0.5	 1	   0.0000000000e+00	   2.6774059787e-05	   1.1999909718e+00	   5.3243591162e-05	   5.9995999123e-01	   1.1036060570e-07	   1.2037687890e-07	   5.5034940163e-05	   6.0029883719e-05	   5.0032000000e-02	   1.0005647809e-01	
              0	              1	          0.008	            0.5	 1	   0.0000000000e+00	   2.6774059787e-05	   1.1999909718e+00	   5.3243591162e-05	   5.9995999123e-01	   1.1036060570e-07	   1.2037687890e-07	   5.5034940163e-05	   6.0029883719e-05	   5.0032000000e-02	   1.0005647809e-01	
              1	              1	          0.008	            0.5	 1	   0.0000000000e+00	   2.6774059787e-05	   1.1999909718e+00	   5.3243591162e-05	   5.9995999123e-01	   1.1036060570e-07	   1.2037687890e-07	   5.5034940163e-05	   6.0029883719e-05	   5.0032000000e-02	   1.0005647809e-01	
              0	              0	           0.01	            0.5	 1	   0.0000000000e+00	   4.2019926291e-05	   1.1999859300e+00	   8.4121509476e-05	   5.9993692936e-01	   1.1035147843e-07	   1.2036262682e-07	   5.5032588447e-05	   6.0025175923e-05	   5.0030000000e-02	   1.0005247716e-01	
              1	              0	           0.01	            0.5	 1	   0.0000000000e+00	   4.2019926291e-05	   1.1999859300e+00	   8.4121509476e-05	   5.9993692936e-01	   1.1035147843e-07	   1.2036262682e-07	   5.5032588447e-05	   6.0025175923e-05	   5.0030000000e-02	   1.0005247716e-01	
              0	              1	           0.01	            0.5	 1	   0.0000000000e+00	   4.2019926291e-05	   1.1999859300e+00	   8.4121509476e-05	   5.9993692936e-01	   1.1035147843e-07	   1.2036262682e-07	   5.5032588447e-05	   6.0025175923e-05	   5.0030000000e-02	   1.0005247716e-01	
              1	              1	           0.01	            0.5	 1	   0.0000000000e+00	   4.2019926291e-05	   1.1999859300e+00	   8.4121509476e-05	   5.9993692936e-01	   1.1035147843e-07	   1.2036262682e-07	   5.5032588447e-05	   6.0025175923e-05	   5.0030000000e-02	   1.0005247716e-01	
              0	              0	          0.012	            0.5	 1	   0.0000000000e+00	   6.4535814010e-05	   1.1999785689e+00	   1.3021253372e-04	   5.9990262596e-01	   1.1034220105e-07	   1.2034612002e-07	   5.5030161680e-05	   6.0019343272e-05	   5.0028000000e-02	   1.0004847566e-01	
              1	              0	          0.012	            0.5	 1	   0.0000000000e+00	   6.4535814010e-05	   1.1999785689e+00	   1.3021253372e-04	   5.9990262596e-01	   1.1034220105e-07	   1.2034612002e-07	   5.5030161680e-05	   6.0019343272e-05	   5.0028000000e-02	   1.0004847566e-01	
              0	              1	          0.012	            0.5	 1	   0.0000000000e+00	   6.4535814010e-05	   1.1999785689e+00	   1.3021253372e-04	   5.9990262596e-01	   1.1034220105e-07	   1.2034612002e-07	   5.5030161680e-05	   6.0019343272e-05	   5.0028000000e-02	   1.0004847566e-01	
              1	              1	          0.012	            0.5	 1	   0.0000000000e+00	   6.4535814010e-05	   1.1999785689e+00	   1.3021253372e-04	   5.9990262596e-01	   1.1034220105e-07	   1.2034612002e-07	   5.5030161680e-05	   6.0019343272e-05	   5.0028000000e-02	   1.0004847566e-01	
              0	              0	          0.014	            0.5	 1	   0.0000000000e+00	   9.7357910824e-05	   1.1999679768e+00	   1.9820901850e-04	   5.9985221674e-01	   1.1033270951e-07	   1.2032638304e-07	   5.5027627905e-05	   6.0011899123e-05	   5.0026000000e-02	   1.0004447337e-01	
              1	              0	          0.014	            0.5	 1	   0.0000000000e+00	   9.7357910824e-05	   1.1999679768e+00	   1.9820901850e-04	   5.9985221674e-01	   1.1033270951e-07	   1.2032638304e-07	   5.5027627905e-05	   6.0011899123e-05	   5.0026000000e-02	   1.0004447337e-01	
              0	              1	          0.014	            0.5	 1	   0.0000000000e+00	   9.7357910824e-05	   1.1999679768e+00	   1.9820901850e-04	   5.9985221674e-01	   1.1033270951e-07	   1.2032638304e-07	   5.5027627905e-05	   6.0011899123e-05	   5.0026000000e-02	   1.0004447337e-01	
              1	              1	          0.014	            0.5	 1	   0.0000000000e+00	   9.7357910824e-05	   1.1999679768e+00	   1.9820901850e-04	   5.9985221674e-01	   1.1033270951e-07	   1.2032638304e-07	   5.5027627905e-05	   6.0011899123e-05	   5.0026000000e-02	   1.0004447337e-01	
              0	              0	          0.016	            0.5	 1	   0.0000000000e+00	   1.4465050215e-04	   1.1999529351e+00	   2.9749212464e-04	   5.9977892900e-01	   1.1032291051e-07	   1.2030205784e-07	   5.5024940576e-05	   6.0002165948e-05	   5.0024000000e-02	   1.0004046999e-01	
              1	              0	          0.016	            0.5	 1	   0.0000000000e+00	   1.4465050215e-04	   1.1999529351e+00	   2.9749212464e-04	   5.9977892900e-01	   1.1032291051e-07	   1.2030205784e-07	   5.5024940576e-05	   6.0002165948e-05	   5.0024000000e-02	   1.0004046999e-01	
              0	              1	          0.016	            0.5	 1	   0.0000000000e+00	   1.4465050215e-04	   1.1999529351e+00	   2.9749212464e-04	   5.9977892900e-01	   1.1032291051e-07	   1.2030205784e-07	   5.5024940576e-05	   6.0002165948e-05	   5.0024000000e-02	   1.0004046999e-01	
              1	              1	          0.016	            0.5	 1	   0.0000000000e+00	   1.4465050215e-04	   1.1999529351e+00	   2.9749212464e-04	   5.9977892900e-01	   1.1032291051e-07	   1.2030205784e-07	   5.5024940576e-05	   6.0002165948e-05	   5.0024000000e-02	   1.0004046999e-01	
              0	              0	          0.018	            0.5	 1	   0.0000000000e+00	   2.1208083938e-04	   1.1999318327e+00	   4.4113301952e-04	   5.9967339354e-01	   1.1031267690e-07	   1.2027126595e-07	   5.5022036264e-05	   5.9989206523e-05	   5.0022000000e-02	   1.0003646513e-01	
              1	              0	          0.018	            0.5	 1	   0.0000000000e+00	   2.1208083938e-04	   1.1999318327e+00	   4.4113301952e-04	   5.9967339354e-01	   1.1031267690e-07	   1.2027126595e-07	   5.5022036264e-05	   5.9989206523e-05	   5.0022000000e-02	   1.0003646513e-01	
              0	              1	          0.018	            0.5	 1	   0.0000000000e+00	   2.1208083938e-04	   1.1999318327e+00	   4.4113301952e-04	   5.9967339354e-01	   1.1031267690e-07	   1.2027126595e-07	   5.5022036264e-05	   5.9989206523e-05	   5.0022000000e-02	   1.0003646513e-01	
              1	              1	          0.018	            0.5	 1	   0.0000000000e+00	   2.1208083938e-04	   1.1999318327e+00	   4.4113301952e-04	   5.9967339354e-01	   1.1031267690e-07	   1.2027126595e-07	   5.5022036264e-05	   5.9989206523e-05	   5.0022000000e-02	   1.0003646513e-01	
              0	              0	           0.02	            0.5	 1	   0.0000000000e+00	   3.0730580445e-04	   1.1999025611e+00	   6.4724444738e-04	   5.9952272558e-01	   1.1030183149e-07	   1.2023142433e-07	   5.5018826548e-05	   5.9971732030e-05	   5.0020000000e-02	   1.0003245827e-01	
              1	              0	           0.02	            0.5	 1	   0.0000000000e+00	   3.0730580445e-04	   1.1999025611e+00	   6.4724444738e-04	   5.9952272558e-01	   1.1030183149e-07	   1.2023142433e-07	   5.5018826548e-05	   5.9971732030e-05	   5.0020000000e-02	   1.0003245827e-01	
              0	              1	           0.02	            0.5	 1	   0.0000000000e+00	   3.0730580445e-04	   1.1999025611e+00	   6.4724444738e-04	   5.9952272558e-01	   1.1030183149e-07	   1.2023142433e-07	   5.5018826548e-05	   5.9971732030e-05	   5.0020000000e-02	   1.0003245827e-01	
              1	              1	           0.02	            0.5	 1	   0.0000000000e+00	   3.0730580445e-04	   1.1999025611e+00	   6.4724444738e-04	   5.9952272558e-01	   1.1030183149e-07	   1.2023142433e-07	   5.5018826548e-05	   5.9971732030e-05	   5.0020000000e-02	   1.0003245827e-01	
              0	              0	          0.022	            0.5	 1	   0.0000000000e+00	   4.4060063236e-04	   1.1998623877e+00	   9.4079980678e-04	   5.9930930083e-01	   1.1029013304e-07	   1.2017900015e-07	   5.5015191061e-05	   5.9947979682e-05	   5.0018000000e-02	   1.0002844875e-01	
              1	              0	          0.022	            0.5	 1	   0.0000000000e+00	   4.4060063236e-04	   1.1998623877e+00	   9.4079980678e-04	   5.9930930083e-01	   1.1029013304e-07	   1.2017900015e-07	   5.5015191061e-05	   5.9947979682e-05	   5.0018000000e-02	   1.0002844875e-01	
              0	              1	          0.022	            0.5	 1	   0.0000000000e+00	   4.4060063236e-04	   1.1998623877e+00	   9.4079980678e-04	   5.9930930083e-01	   1.1029013304e-07	   1.2017900015e-07	   5.5015191061e-05	   5.9947979682e-05	   5.0018000000e-02	   1.0002844875e-01	
              1	              1	          0.022	            0.5	 1	   0.0000000000e+00	   4.4060063236e-04	   1.1998623877e+00	   9.4079980678e-04	   5.9930930083e-01	   1.1029013304e-07	   1.2017900015e-07	   5.5015191061e-05	   5.9947979682e-05	   5.0018000000e-02	   1.0002844875e-01	
              0	              0	          0.024	            0.5	 1	   0.0000000000e+00	   6.2566765203e-04	   1.1998078063e+00	   1.3560749473e-03	   5.9900913024e-01	   1.1027724525e-07	   1.2010918531e-07	   5.5010961988e-05	   5.9915550232e-05	   5.0016000000e-02	   1.0002443570e-01	
              1	              0	          0.024	            0.5	 1	   0.0000000000e+00	   6.2566765203e-04	   1.1998078063e+00	   1.3560749473e-03	   5.9900913024e-01	   1.1027724525e-07	   1.2010918531e-07	   5.5010961988e-05	   5.9915550232e-05	   5.0016000000e-02	   1.0002443570e-01	
              0	              1	          0.024	            0.5	 1	   0.0000000000e+00	   6.2566765203e-04	   1.1998078063e+00	   1.3560749473e-03	   5.9900913024e-01	   1.1027724525e-07	   1.2010918531e-07	   5.5010961988e-05	   5.9915550232e-05	   5.0016000000e-02	   1.0002443570e-01	
              1	              1	          0.024	            0.5	 1	   0.0000000000e+00	   6.2566765203e-04	   1.1998078063e+00	   1.3560749473e-03	   5.9900913024e-01	   1.1027724525e-07	   1.2010918531e-07	   5.5010961988e-05	   5.9915550232e-05	   5.0016000000e-02	   1.0002443570e-01	
              0	              0	          0.026	            0.5	 1	   0.0000000000e+00	   8.8067267996e-04	   1.1997343605e+00	   1.9399181442e-03	   5.9858970684e-01	   1.1026271419e-07	   1.2001546512e-07	   5.5005912808e-05	   5.9871192713e-05	   5.0014000000e-02	   1.0002041804e-01	
              1	              0	          0.026	            0.5	 1	   0.0000000000e+00	   8.8067267996e-04	   1.1997343605e+00	   1.9399181442e-03	   5.9858970684e-01	   1.1026271419e-07	   1.2001546512e-07	   5.5005912808e-05	   5.9871192713e-05	   5.0014000000e-02	   1.0002041804e-01	
              0	              1	          0.026	            0.5	 1	   0.0000000000e+00	   8.8067267996e-04	   1.1997343605e+00	   1.9399181442e-03	   5.9858970684e-01	   1.1026271419e-07	   1.2001546512e-07	   5.5005912808e-05	   5.9871192713e-05	   5.0014000000e-02	   1.0002041804e-01	
              1	              1	          0.026	            0.5	 1	   0.0000000000e+00	   8.8067267996e-04	   1.1997343605e+00	   1.9399181442e-03	   5.9858970684e-01	   1.1026271419e-07	   1.2001546512e-07	   5.5005912808e-05	   5.9871192713e-05	   5.0014000000e-02	   1.0002041804e-01	
              0	              0	          0.028	            0.5	 1	   0.0000000000e+00	   1.2295688947e-03	   1.1996364398e+00	   2.7561199021e-03	   5.9800715885e-01	   1.1024591871e-07	   1.1988904825e-07	   5.4999733551e-05	   5.9810519851e-05	   5.0012000000e-02	   1.0001639440e-01	
              1	              0	          0.028	            0.5	 1	   0.0000000000e+00	   1.2295688947e-03	   1.1996364398e+00	   2.7561199021e-03	   5.9800715885e-01	   1.1024591871e-07	   1.1988904825e-07	   5.4999733551e-05	   5.9810519851e-05	   5.0012000000e-02	   1.0001639440e-01	
              0	              1	          0.028	            0.5	 1	   0.0000000000e+00	   1.2295688947e-03	   1.1996364398e+00	   2.7561199021e-03	   5.9800715885e-01	   1.1024591871e-07	   1.1988904825e-07	   5.4999733551e-05	   5.9810519851e-05	   5.0012000000e-02	   1.0001639440e-01	
              1	              1	          0.028	            0.5	 1	   0.0000000000e+00	   1.2295688947e-03	   1.1996364398e+00	   2.7561199021e-03	   5.9800715885e-01	   1.1024591871e-07	   1.1988904825e-07	   5.4999733551e-05	   5.9810519851e-05	   5.0012000000e-02	   1.0001639440e-01	
              0	              0	           0.03	            0.5	 1	   0.0000000000e+00	   1.7037834362e-03	   1.1995070465e+00	   3.8912412708e-03	   5.9720249229e-01	   1.1022601427e-07	   1.1971811432e-07	   5.4992002733e-05	   5.9727632477e-05	   5.0010000000e-02	   1.0001236306e-01	
              1	              0	           0.03	            0.5	 1	   0.0000000000e+00	   1.7037834362e-03	   1.1995070465e+00	   3.8912412708e-03	   5.9720249229e-01	   1.1022601427e-07	   1.1971811432e-07	   5.4992002733e-05	   5.9727632477e-05	   5.0010000000e-02	   1.0001236306e-01	
              0	              1	           0.03	            0.5	 1	   0.0000000000e+00	   1.7037834362e-03	   1.1995070465e+00	   3.8912412708e-03	   5.9720249229e-01	   1.1022601427e-07	   1.1971811432e-07	   5.4992002733e-05	   5.9727632477e-05	   5.0010000000e-02	   1.0001236306e-01	
              1	              1	           0.03	            0.5	 1	   0.0000000000e+00	   1.7037834362e-03	   1.1995070465e+00	   3.8912412708e-03	   5.9720249229e-01	   1.1022601427e-07	   1.1971811432e-07	   5.4992002733e-05	   5.9727632477e-05	   5.0010000000e-02	   1.0001236306e-01	
              0	              0	          0.032	            0.5	 1	   0.0000000000e+00	   2.3443615081e-03	   1.1993375327e+00	   5.4623734117e-03	   5.9609663909e-01	   1.1020186078e-07	   1.1948682247e-07	   5.4982151348e-05	   5.9614624571e-05	   5.0008000000e-02	   1.0000832191e-01	
              1	              0	          0.032	            0.5	 1	   0.0000000000e+00	   2.3443615081e-03	   1.1993375327e+00	   5.4623734117e-03	   5.9609663909e-01	   1.1020186078e-07	   1.1948682247e-07	   5.4982151348e-05	   5.9614624571e-05	   5.0008000000e-02	   1.0000832191e-01	
              0	              1	          0.032	            0.5	 1	   0.0000000000e+00	   2.3443615081e-03	   1.1993375327e+00	   5.4623734117e-03	   5.9609663909e-01	   1.1020186078e-07	   1.1948682247e-07	   5.4982151348e-05	   5.9614624571e-05	   5.0008000000e-02	   1.0000832191e-01	
              1	              1	          0.032	            0.5	 1	   0.0000000000e+00	   2.3443615081e-03	   1.1993375327e+00	   5.4623734117e-03	   5.9609663909e-01	   1.1020186078e-07	   1.1948682247e-07	   5.4982151348e-05	   5.9614624571e-05	   5.0008000000e-02	   1.0000832191e-01	
              0	              0	          0.034	            0.5	 1	   0.0000000000e+00	   3.2046875429e-03	   1.1991173095e+00	   7.6274499755e-03	   5.9458394034e-01	   1.1017191028e-07	   1.1917400676e-07	   5.4969406803e-05	   5.9460931935e-05	   5.0006000000e-02	   1.0000426837e-01	
              1	              0	          0.034	            0.5	 1	   0.0000000000e+00	   3.2046875429e-03	   1.1991173095e+00	   7.6274499755e-03	   5.9458394034e-01	   1.1017191028e-07	   1.1917400676e-07	   5.4969406803e-05	   5.9460931935e-05	   5.0006000000e-02	   1.0000426837e-01	
              0	              1	          0.034	            0.5	 1	   0.0000000000e+00	   3.2046875429e-03	   1.1991173095e+00	   7.6274499755e-03	   5.9458394034e-01	   1.1017191028e-07	   1.1917400676e-07	   5.4969406803e-05	   5.9460931935e-05	   5.0006000000e-02	   1.0000426837e-01	
              1	              1	          0.034	            0.5	 1	   0.0000000000e+00	   3.2046875429e-03	   1.1991173095e+00	   7.6274499755e-03	   5.9458394034e-01	   1.1017191028e-07	   1.1917400676e-07	   5.4969406803e-05	   5.9460931935e-05	   5.0006000000e-02	   1.0000426837e-01	
              0	              0	          0.036	            0.5	 1	   0.0000000000e+00	   4.3539344447e-03	   1.1988335292e+00	   1.0598926876e-02	   5.9252358173e-01	   1.1013406805e-07	   1.1875146177e-07	   5.4952723569e-05	   5.9252476254e-05	   5.0004000000e-02	   1.0000019928e-01	
              1	              0	          0.036	            0.5	 1	   0.0000000000e+00	   4.3539344447e-03	   1.1988335292e+00	   1.0598926876e-02	   5.9252358173e-01	   1.1013406805e-07	   1.1875146177e-07	   5.4952723569e-05	   5.9252476254e-05	   5.0004000000e-02	   1.0000019928e-01	
              0	              1	          0.036	            0.5	 1	   0.0000000000e+00	   4.3539344447e-03	   1.1988335292e+00	   1.0598926876e-02	   5.9252358173e-01	   1.1013406805e-07	   1.1875146177e-07	   5.4952723569e-05	   5.9252476254e-05	   5.0004000000e-02	   1.0000019928e-01	
              1	              1	          0.036	            0.5	 1	   0.0000000000e+00	   4.3539344447e-03	   1.1988335292e+00	   1.0598926876e-02	   5.9252358173e-01	   1.1013406805e-07	   1.1875146177e-07	   5.4952723569e-05	   5.9252476254e-05	   5.0004000000e-02	   1.0000019928e-01	
              0	              0	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              1	              0	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              0	              1	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              1	              1	          0.038	            0.5	 1	   0.0000000000e+00	   5.8814317679e-03	   1.1984707454e+00	   1.4661892145e-02	   5.8972835451e-01	   1.1008550067e-07	   1.1818169311e-07	   5.4930687339e-05	   5.8970541934e-05	   5.0002000000e-02	   9.9996110892e-02	
              0	              0	           0.04	            0.5	 1	   0.0000000000e+00	   7.9021939854e-03	   1.1980105567e+00	   2.0197983359e-02	   5.8594993246e-01	   1.1002235839e-07	   1.1741497098e-07	   5.4901376440e-05	   5.8590304880e-05	   5.0000000000e-02	   9.9991998692e-02	
